CODE,N_CHILDREN,N_WORKERS,N_ADULTS,N_VEHICLES,HOUSEHOLDER_AGE
291,2,1,1,1,35-64
292,2,1,2,1,35-64
293,2,1,3,1,35-64
294,2,1,4+,1,35-64
295,2,2,2,1,35-64
296,2,2,3,1,35-64
297,2,2,4+,1,35-64
298,2,3+,3,1,35-64
299,2,3+,4+,1,35-64
300,3+,0,1,1,35-64
301,3+,0,2,1,35-64
302,3+,0,3,1,35-64
303,3+,0,4+,1,35-64
304,3+,1,1,1,35-64
305,3+,1,2,1,35-64
306,3+,1,3,1,35-64
307,3+,1,4+,1,35-64
308,3+,2,2,1,35-64
309,3+,2,3,1,35-64
310,3+,2,4+,1,35-64
311,3+,3+,3,1,35-64
312,3+,3+,4+,1,35-64
313,0,0,1,2,35-64
314,0,0,2,2,35-64
315,0,0,3,2,35-64
316,0,0,4+,2,35-64
317,0,1,1,2,35-64
318,0,1,2,2,35-64
319,0,1,3,2,35-64
320,0,1,4+,2,35-64
321,0,2,2,2,35-64
322,0,2,3,2,35-64
323,0,2,4+,2,35-64
324,0,3+,3,2,35-64
325,0,3+,4+,2,35-64
326,1,0,1,2,35-64
327,1,0,2,2,35-64
328,1,0,3,2,35-64
329,1,0,4+,2,35-64
330,1,1,1,2,35-64
331,1,1,2,2,35-64
332,1,1,3,2,35-64
333,1,1,4+,2,35-64
334,1,2,2,2,35-64
335,1,2,3,2,35-64
336,1,2,4+,2,35-64
337,1,3+,3,2,35-64
338,1,3+,4+,2,35-64
339,2,0,1,2,35-64
340,2,0,2,2,35-64
341,2,0,3,2,35-64
342,2,0,4+,2,35-64
343,2,1,1,2,35-64
344,2,1,2,2,35-64
345,2,1,3,2,35-64
346,2,1,4+,2,35-64
347,2,2,2,2,35-64
348,2,2,3,2,35-64
349,2,2,4+,2,35-64
350,2,3+,3,2,35-64
351,2,3+,4+,2,35-64
352,3+,0,1,2,35-64
353,3+,0,2,2,35-64
354,3+,0,3,2,35-64
355,3+,0,4+,2,35-64
356,3+,1,1,2,35-64
357,3+,1,2,2,35-64
358,3+,1,3,2,35-64
359,3+,1,4+,2,35-64
360,3+,2,2,2,35-64
361,3+,2,3,2,35-64
362,3+,2,4+,2,35-64
363,3+,3+,3,2,35-64
364,3+,3+,4+,2,35-64
365,0,0,1,3+,35-64
366,0,0,2,3+,35-64
367,0,0,3,3+,35-64
368,0,0,4+,3+,35-64
369,0,1,1,3+,35-64
370,0,1,2,3+,35-64
371,0,1,3,3+,35-64
372,0,1,4+,3+,35-64
373,0,2,2,3+,35-64
374,0,2,3,3+,35-64
375,0,2,4+,3+,35-64
376,0,3+,3,3+,35-64
377,0,3+,4+,3+,35-64
378,1,0,1,3+,35-64
379,1,0,2,3+,35-64
380,1,0,3,3+,35-64
381,1,0,4+,3+,35-64
382,1,1,1,3+,35-64
383,1,1,2,3+,35-64
384,1,1,3,3+,35-64
385,1,1,4+,3+,35-64
386,1,2,2,3+,35-64
387,1,2,3,3+,35-64
388,1,2,4+,3+,35-64
389,1,3+,3,3+,35-64
390,1,3+,4+,3+,35-64
391,2,0,1,3+,35-64
392,2,0,2,3+,35-64
393,2,0,3,3+,35-64
394,2,0,4+,3+,35-64
395,2,1,1,3+,35-64
396,2,1,2,3+,35-64
397,2,1,3,3+,35-64
398,2,1,4+,3+,35-64
399,2,2,2,3+,35-64
400,2,2,3,3+,35-64
401,2,2,4+,3+,35-64
402,2,3+,3,3+,35-64
403,2,3+,4+,3+,35-64
404,3+,0,1,3+,35-64
405,3+,0,2,3+,35-64
406,3+,0,3,3+,35-64
407,3+,0,4+,3+,35-64
408,3+,1,1,3+,35-64
409,3+,1,2,3+,35-64
410,3+,1,3,3+,35-64
411,3+,1,4+,3+,35-64
412,3+,2,2,3+,35-64
413,3+,2,3,3+,35-64
414,3+,2,4+,3+,35-64
415,3+,3+,3,3+,35-64
416,3+,3+,4+,3+,35-64
417,0,0,1,0,>65
418,0,0,2,0,>65
419,0,0,3,0,>65
420,0,0,4+,0,>65
421,0,1,1,0,>65
422,0,1,2,0,>65
423,0,1,3,0,>65
424,0,1,4+,0,>65
425,0,2,2,0,>65
426,0,2,3,0,>65
427,0,2,4+,0,>65
428,0,3+,3,0,>65
429,0,3+,4+,0,>65
430,1,0,1,0,>65
431,1,0,2,0,>65
432,1,0,3,0,>65
433,1,0,4+,0,>65
434,1,1,1,0,>65
435,1,1,2,0,>65
436,1,1,3,0,>65
437,1,1,4+,0,>65
438,1,2,2,0,>65
439,1,2,3,0,>65
440,1,2,4+,0,>65
441,1,3+,3,0,>65
442,1,3+,4+,0,>65
443,2,0,1,0,>65
444,2,0,2,0,>65
445,2,0,3,0,>65
446,2,0,4+,0,>65
447,2,1,1,0,>65
448,2,1,2,0,>65
449,2,1,3,0,>65
450,2,1,4+,0,>65
451,2,2,2,0,>65
452,2,2,3,0,>65
453,2,2,4+,0,>65
454,2,3+,3,0,>65
455,2,3+,4+,0,>65
456,3+,0,1,0,>65
457,3+,0,2,0,>65
458,3+,0,3,0,>65
459,3+,0,4+,0,>65
460,3+,1,1,0,>65
461,3+,1,2,0,>65
462,3+,1,3,0,>65
463,3+,1,4+,0,>65
464,3+,2,2,0,>65
465,3+,2,3,0,>65
466,3+,2,4+,0,>65
467,3+,3+,3,0,>65
468,3+,3+,4+,0,>65
469,0,0,1,1,>65
470,0,0,2,1,>65
471,0,0,3,1,>65
472,0,0,4+,1,>65
473,0,1,1,1,>65
474,0,1,2,1,>65
475,0,1,3,1,>65
476,0,1,4+,1,>65
477,0,2,2,1,>65
478,0,2,3,1,>65
479,0,2,4+,1,>65
480,0,3+,3,1,>65
481,0,3+,4+,1,>65
482,1,0,1,1,>65
483,1,0,2,1,>65
484,1,0,3,1,>65
485,1,0,4+,1,>65
486,1,1,1,1,>65
487,1,1,2,1,>65
488,1,1,3,1,>65
489,1,1,4+,1,>65
490,1,2,2,1,>65
491,1,2,3,1,>65
492,1,2,4+,1,>65
493,1,3+,3,1,>65
494,1,3+,4+,1,>65
495,2,0,1,1,>65
496,2,0,2,1,>65
497,2,0,3,1,>65
498,2,0,4+,1,>65
499,2,1,1,1,>65
500,2,1,2,1,>65
501,2,1,3,1,>65
502,2,1,4+,1,>65
503,2,2,2,1,>65
504,2,2,3,1,>65
505,2,2,4+,1,>65
506,2,3+,3,1,>65
507,2,3+,4+,1,>65
508,3+,0,1,1,>65
509,3+,0,2,1,>65
510,3+,0,3,1,>65
511,3+,0,4+,1,>65
512,3+,1,1,1,>65
513,3+,1,2,1,>65
514,3+,1,3,1,>65
515,3+,1,4+,1,>65
516,3+,2,2,1,>65
517,3+,2,3,1,>65
518,3+,2,4+,1,>65
519,3+,3+,3,1,>65
520,3+,3+,4+,1,>65
521,0,0,1,2,>65
522,0,0,2,2,>65
523,0,0,3,2,>65
524,0,0,4+,2,>65
525,0,1,1,2,>65
526,0,1,2,2,>65
527,0,1,3,2,>65
528,0,1,4+,2,>65
529,0,2,2,2,>65
530,0,2,3,2,>65
531,0,2,4+,2,>65
532,0,3+,3,2,>65
533,0,3+,4+,2,>65
534,1,0,1,2,>65
535,1,0,2,2,>65
536,1,0,3,2,>65
537,1,0,4+,2,>65
538,1,1,1,2,>65
539,1,1,2,2,>65
540,1,1,3,2,>65
541,1,1,4+,2,>65
542,1,2,2,2,>65
543,1,2,3,2,>65
544,1,2,4+,2,>65
545,1,3+,3,2,>65
546,1,3+,4+,2,>65
547,2,0,1,2,>65
548,2,0,2,2,>65
549,2,0,3,2,>65
550,2,0,4+,2,>65
551,2,1,1,2,>65
552,2,1,2,2,>65
553,2,1,3,2,>65
554,2,1,4+,2,>65
555,2,2,2,2,>65
556,2,2,3,2,>65
557,2,2,4+,2,>65
558,2,3+,3,2,>65
559,2,3+,4+,2,>65
560,3+,0,1,2,>65
561,3+,0,2,2,>65
562,3+,0,3,2,>65
563,3+,0,4+,2,>65
564,3+,1,1,2,>65
565,3+,1,2,2,>65
566,3+,1,3,2,>65
567,3+,1,4+,2,>65
568,3+,2,2,2,>65
569,3+,2,3,2,>65
570,3+,2,4+,2,>65
571,3+,3+,3,2,>65
572,3+,3+,4+,2,>65
573,0,0,1,3+,>65
574,0,0,2,3+,>65
575,0,0,3,3+,>65
576,0,0,4+,3+,>65
577,0,1,1,3+,>65
578,0,1,2,3+,>65
579,0,1,3,3+,>65
580,0,1,4+,3+,>65
581,0,2,2,3+,>65
582,0,2,3,3+,>65
583,0,2,4+,3+,>65
584,0,3+,3,3+,>65
585,0,3+,4+,3+,>65
586,1,0,1,3+,>65
587,1,0,2,3+,>65
588,1,0,3,3+,>65
589,1,0,4+,3+,>65
590,1,1,1,3+,>65
591,1,1,2,3+,>65
592,1,1,3,3+,>65
593,1,1,4+,3+,>65
594,1,2,2,3+,>65
595,1,2,3,3+,>65
596,1,2,4+,3+,>65
597,1,3+,3,3+,>65
598,1,3+,4+,3+,>65
599,2,0,1,3+,>65
600,2,0,2,3+,>65
601,2,0,3,3+,>65
602,2,0,4+,3+,>65
603,2,1,1,3+,>65
604,2,1,2,3+,>65
605,2,1,3,3+,>65
606,2,1,4+,3+,>65
607,2,2,2,3+,>65
608,2,2,3,3+,>65
609,2,2,4+,3+,>65
610,2,3+,3,3+,>65
611,2,3+,4+,3+,>65
612,3+,0,1,3+,>65
613,3+,0,2,3+,>65
614,3+,0,3,3+,>65
615,3+,0,4+,3+,>65
616,3+,1,1,3+,>65
617,3+,1,2,3+,>65
618,3+,1,3,3+,>65
619,3+,1,4+,3+,>65
620,3+,2,2,3+,>65
621,3+,2,3,3+,>65
622,3+,2,4+,3+,>65
623,3+,3+,3,3+,>65
624,3+,3+,4+,3+,>65
