trip_type,wfh_flag,cbd,weight_formula
47,1,1,1 * households
47,1,0,16.44 * households * notairport_flag
48,0,1,0.058 * total_employment
48,0,0,1 * retail_employment + 0.922 * nonretail_employment
48,1,1,0.058 * total_employment
48,1,0,1 * retail_employment + 0.922 * nonretail_employment
49,0,1,1 * retail_employment
49,0,0,1 * retail_employment * notairport_flag
49,1,1,1 * retail_employment
49,1,0,1 * retail_employment * notairport_flag
