HHTYPE,ADULT,WORKER,CHILD,INCOME,AGE_INDEX
200,1,1,3.0,4.0,1.0
201,2,1,3.0,4.0,1.0
202,3,1,3.0,4.0,1.0
203,4,1,3.0,4.0,1.0
204,2,2,3.0,4.0,1.0
205,3,2,3.0,4.0,1.0
206,4,2,3.0,4.0,1.0
207,3,3,3.0,4.0,1.0
208,4,3,3.0,4.0,1.0
209,1,0,0.0,1.0,2.0
210,2,0,0.0,1.0,2.0
211,3,0,0.0,1.0,2.0
212,4,0,0.0,1.0,2.0
213,1,1,0.0,1.0,2.0
214,2,1,0.0,1.0,2.0
215,3,1,0.0,1.0,2.0
216,4,1,0.0,1.0,2.0
217,2,2,0.0,1.0,2.0
218,3,2,0.0,1.0,2.0
219,4,2,0.0,1.0,2.0
220,3,3,0.0,1.0,2.0
221,4,3,0.0,1.0,2.0
222,1,0,1.0,1.0,2.0
223,2,0,1.0,1.0,2.0
224,3,0,1.0,1.0,2.0
225,4,0,1.0,1.0,2.0
226,1,1,1.0,1.0,2.0
227,2,1,1.0,1.0,2.0
228,3,1,1.0,1.0,2.0
229,4,1,1.0,1.0,2.0
230,2,2,1.0,1.0,2.0
231,3,2,1.0,1.0,2.0
232,4,2,1.0,1.0,2.0
233,3,3,1.0,1.0,2.0
234,4,3,1.0,1.0,2.0
235,1,0,2.0,1.0,2.0
236,2,0,2.0,1.0,2.0
237,3,0,2.0,1.0,2.0
238,4,0,2.0,1.0,2.0
239,1,1,2.0,1.0,2.0
240,2,1,2.0,1.0,2.0
241,3,1,2.0,1.0,2.0
242,4,1,2.0,1.0,2.0
243,2,2,2.0,1.0,2.0
244,3,2,2.0,1.0,2.0
245,4,2,2.0,1.0,2.0
246,3,3,2.0,1.0,2.0
247,4,3,2.0,1.0,2.0
248,1,0,3.0,1.0,2.0
249,2,0,3.0,1.0,2.0
250,3,0,3.0,1.0,2.0
251,4,0,3.0,1.0,2.0
252,1,1,3.0,1.0,2.0
253,2,1,3.0,1.0,2.0
254,3,1,3.0,1.0,2.0
255,4,1,3.0,1.0,2.0
256,2,2,3.0,1.0,2.0
257,3,2,3.0,1.0,2.0
258,4,2,3.0,1.0,2.0
259,3,3,3.0,1.0,2.0
