810,0.511
811,0.65
812,0.504
813,0.448
814,0.448
815,0.448
816,0.448
817,0.636
818,0.561
819,0.546
820,0.546
821,0.512
822,0.511
823,0.752
824,0.652
825,0.584
826,0.778
827,0.475
828,0.493
829,0.574
830,0.471
831,0.645
832,0.674
833,0.511
834,0.488
835,0.584
836,0.528
837,0.505
838,0.504
839,0.682
840,0.721
841,0.667
842,0.622
843,0.716
844,0.681
845,0.61
846,0.638
847,0.688
848,0.568
849,0.747
850,0.696
851,0.443
852,0.338
853,0.684
854,0.553
855,0.574
856,0.574
857,0.574
858,0.574
859,0.467
860,0.467
861,0.467
862,0.467
863,0.517
864,0.588
865,0.502
866,0.533
867,0.526
868,0.646
869,0.727
870,0.728
871,0.487
872,0.559
873,0.438
874,0.447
875,0.552
876,0.724
877,0.561
878,0.531
879,0.727
880,0.645
881,0.5
882,0.487
883,0.698
884,0.72
885,0.452
886,0.717
887,0.583
888,0.694
889,0.638
890,0.68
891,0.436
892,0.716
893,0.49
894,0.681
895,0.517
896,0.546
897,0.724
898,0.724
899,0.538
900,0.704
901,0.654
902,0.748
903,0.553
904,0.577
905,0.57
906,0.539
907,0.713
908,0.663
909,0.663
910,0.663
911,0.597
912,0.68
913,0.619
914,0.74
915,0.687
916,0.589
917,0.677
918,0.659
919,0.66
920,0.578
921,0.643
922,0.668
923,0.583
924,0.681
925,0.553
926,0.716
927,0.769
928,0.639
929,0.639
930,0.684
931,0.665
932,0.71
933,0.584
934,0.714
935,0.703
936,0.585
937,0.699
938,0.677
939,0.657
940,0.572
941,0.565
942,0.691
943,0.691
944,0.691
945,0.453
946,0.657
947,0.684
948,0.684
949,0.684
950,0.684
951,0.689
952,0.689
953,0.689
954,0.607
955,0.658
956,0.612
957,0.618
958,0.433
959,0.434
960,0.637
961,0.634
962,0.671
963,0.695
964,0.746
965,0.654
966,0.653
967,0.519
968,0.485
969,0.503
970,0.539
971,0.626
972,0.626
973,0.649
974,0.607
975,0.517
976,0.571
977,0.585
978,0.751
979,0.686
980,0.469
981,0.534
982,0.468
983,0.557
984,0.69
985,0.69
986,0.69
987,0.69
988,0.609
989,0.609
990,0.609
991,0.609
992,0.554
993,0.554
994,0.554
995,0.554
996,0.554
997,0.554
998,0.554
999,0.554
1000,0.559
1001,0.559
1002,0.559
1003,0.559
1004,0.559
1005,0.559
1006,0.559
1007,0.559
1008,0.559
1009,0.559
1010,0.559
1011,0.559
1012,0.559
1013,0.559
1014,0.559
1015,0.559
1016,0.554
1017,0.554
1018,0.554
1019,0.554
1020,0.554
1021,0.554
1022,0.554
1023,0.554
1024,0.61
1025,0.61
1026,0.61
1027,0.61
1028,0.69
1029,0.69
1030,0.69
1031,0.69
1032,0.648
1033,0.648
1034,0.648
1035,0.648
1036,0.648
1037,0.648
1038,0.648
1039,0.648
1040,0.606
1041,0.606
1042,0.606
1043,0.606
1044,0.602
1045,0.602
1046,0.602
1047,0.602
1048,0.551
1049,0.551
1050,0.551
1051,0.551
1052,0.551
1053,0.551
1054,0.551
1055,0.551
1056,0.551
1057,0.551
1058,0.551
1059,0.551
1060,0.551
1061,0.551
1062,0.551
1063,0.551
1064,0.556
1065,0.556
1066,0.556
1067,0.556
1068,0.556
1069,0.556
1070,0.556
1071,0.556
1072,0.567
1073,0.567
1074,0.567
1075,0.567
1076,0.594
1077,0.594
1078,0.594
1079,0.594
1080,0.774
1081,0.828
1082,0.691
1083,0.82
1084,0.739
1085,0.739
1086,0.739
1087,0.739
1088,0.545
1089,0.545
1090,0.545
1091,0.545
1092,0.52
1093,0.52
1094,0.52
1095,0.52
1096,0.685
1097,0.685
1098,0.685
1099,0.685
1100,0.687
1101,0.687
1102,0.687
1103,0.687
1104,0.466
1105,0.466
1106,0.466
1107,0.466
1108,0.467
1109,0.467
1110,0.467
1111,0.467
1112,0.469
1113,0.469
1114,0.469
1115,0.469
1116,0.571
1117,0.571
1118,0.571
1119,0.571
1120,0.49
1121,0.49
1122,0.49
1123,0.49
1124,0.623
1125,0.623
1126,0.623
1127,0.623
1128,0.614
1129,0.614
1130,0.614
1131,0.614
1132,0.614
1133,0.614
1134,0.614
1135,0.614
1136,0.631
1137,0.631
1138,0.631
1139,0.631
1140,0.581
1141,0.581
1142,0.581
1143,0.581
1144,0.57
1145,0.57
1146,0.57
1147,0.57
1148,0.501
1149,0.501
1150,0.501
1151,0.501
1152,0.535
1153,0.535
1154,0.535
1155,0.535
1156,0.485
1157,0.485
1158,0.485
1159,0.485
1160,0.582
1161,0.582
1162,0.582
1163,0.582
1164,0.644
1165,0.644
1166,0.644
1167,0.644
1168,0.614
1169,0.614
1170,0.614
1171,0.614
1172,0.614
1173,0.614
1174,0.614
1175,0.614
1176,0.711
1177,0.711
1178,0.711
1179,0.711
1180,0.699
1181,0.699
1182,0.699
1183,0.699
1184,0.701
1185,0.701
1186,0.701
1187,0.701
1188,0.683
1189,0.683
1190,0.683
1191,0.683
1192,0.59
1193,0.542
1194,0.631
1195,0.532
1196,0.593
1197,0.593
1198,0.593
1199,0.593
1200,0.592
1201,0.58
1202,0.58
1203,0.582
1204,0.619
1205,0.532
1206,0.611
1207,0.532
1208,0.75
1209,0.75
1210,0.75
1211,0.75
1212,0.723
1213,0.723
1214,0.723
1215,0.723
1216,0.724
1217,0.724
1218,0.724
1219,0.724
1220,0.764
1221,0.764
1222,0.764
1223,0.764
1224,0.718
1225,0.718
1226,0.718
1227,0.718
1228,0.718
1229,0.718
1230,0.718
1231,0.718
1232,0.618
1233,0.618
1234,0.618
1235,0.618
1236,0.618
1237,0.618
1238,0.618
1239,0.618
1240,0.513
1241,0.513
1242,0.513
1243,0.513
1244,0.513
1245,0.513
1246,0.513
1247,0.513
1248,0.513
1249,0.513
1250,0.513
1251,0.513
1252,0.513
1253,0.513
1254,0.513
1255,0.513
1256,0.618
1257,0.618
1258,0.618
