668,0.661,10.05
669,0.9,5.75
670,0.664,35.6
671,0.865,31.63
672,0.614,39.47
673,0.6,41.12
674,0.604,51.07
675,0.49,29.15
676,0.588,44.53
677,0.6,15.9
678,0.673,28.18
679,0.725,12.02
680,0.569,26.49
681,0.595,42.43
682,0.41,19.3
683,0.639,43.36
684,0.514,16.79
685,0.422,39.09
686,0.474,33.84
687,0.461,41.97
688,0.516,0.44
689,0.72,11.31
690,0.804,27.38
691,0.813,45.35
692,0.817,30.62
693,0.805,39.08
694,0.77,22.69
695,0.508,6.66
696,0.661,0.09
697,0.838,8.39
698,0.855,0.0
699,0.838,0.0
700,0.766,0.0
701,0.855,0.0
702,0.766,5.54
703,0.766,0.0
704,0.766,0.0
705,0.766,0.0
706,0.766,0.0
707,0.766,0.31
708,0.766,0.0
709,0.766,0.0
710,0.766,0.0
711,0.855,0.0
712,0.766,10.77
713,0.855,0.0
714,0.766,0.0
715,0.87,9.28
716,0.855,0.0
717,0.855,0.0
718,0.812,0.0
719,0.812,10.45
720,0.812,0.03
721,0.777,34.6
722,0.689,29.7
723,0.805,36.04
724,0.766,38.66
725,0.766,43.74
726,0.877,48.52
727,0.877,11.52
728,0.877,0.2
729,0.876,0.05
730,0.876,0.0
731,0.888,0.34
732,0.864,0.0
733,0.864,0.0
734,0.864,0.0
735,0.809,0.0
736,0.809,0.0
737,0.809,0.0
738,0.839,0.13
739,0.839,1.61
740,0.829,47.96
741,0.829,0.47
742,0.829,44.17
743,0.829,0.04
744,0.811,47.39
745,0.811,18.87
746,0.811,50.5
747,0.811,43.63
748,0.892,55.18
749,0.658,47.82
750,0.7,45.65
751,0.701,48.4
752,0.673,31.5
753,0.762,40.56
754,0.784,37.14
755,0.702,46.79
756,0.789,9.57
757,0.684,45.63
758,0.683,45.5
759,0.707,19.56
760,0.683,38.3
761,0.68,35.3
762,0.678,16.79
763,0.687,8.11
764,0.758,15.64
765,0.742,12.1
766,0.787,40.32
767,0.767,43.46
768,0.788,47.34
769,0.787,43.89
770,0.793,41.62
771,0.797,34.12
772,0.803,39.44
773,0.789,43.8
774,0.789,49.35
775,0.789,52.79
776,0.789,51.86
777,0.635,43.76
778,0.673,39.46
779,0.64,45.06
780,0.679,48.58
781,0.694,36.9
782,0.637,43.86
783,0.644,40.02
784,0.591,40.14
785,0.732,10.38
786,0.732,3.82
787,0.64,37.43
788,0.636,27.67
789,0.559,36.67
790,0.558,7.9
791,0.453,40.58
792,0.535,39.88
793,0.597,47.77
794,0.723,30.82
795,0.456,42.73
796,0.481,32.23
797,0.377,45.15
798,0.385,47.33
799,0.56,21.64
800,0.536,46.76
801,0.487,44.54
802,0.608,48.22
803,0.625,43.64
804,0.531,46.25
805,0.6,55.3
806,0.536,39.58
807,0.433,32.34
808,0.534,28.82
809,0.565,34.59
810,0.646,47.6
811,0.564,49.5
812,0.648,39.47
813,0.749,45.08
814,0.749,33.27
815,0.749,48.15
816,0.749,39.3
817,0.846,16.65
818,0.828,19.41
819,0.876,20.47
820,0.877,44.24
821,0.792,46.81
822,0.792,40.5
823,0.786,47.66
824,0.799,45.71
825,0.723,45.77
826,0.858,42.99
827,0.726,48.6
828,0.733,47.47
829,0.742,42.59
830,0.743,46.59
831,0.57,41.69
832,0.522,43.97
833,0.616,48.27
834,0.69,37.88
835,0.652,54.08
836,0.374,41.74
837,0.468,16.04
838,0.468,47.87
839,0.51,23.62
840,0.578,53.75
841,0.489,19.19
842,0.531,39.65
843,0.507,42.54
844,0.546,40.14
845,0.456,40.17
846,0.381,41.92
847,0.462,50.35
848,0.446,48.57
849,0.235,47.21
850,0.48,45.85
851,0.659,35.26
852,0.662,38.57
853,0.638,30.79
854,0.677,43.89
855,0.778,47.53
856,0.778,47.41
857,0.778,47.5
858,0.778,47.44
859,0.749,47.74
860,0.749,44.29
861,0.749,47.65
862,0.749,33.14
863,0.764,44.01
864,0.842,46.32
865,0.69,16.38
866,0.725,44.23
867,0.699,22.84
868,0.741,42.07
869,0.745,41.37
870,0.745,41.35
871,0.665,40.82
872,0.814,37.46
873,0.703,34.69
874,0.696,29.29
875,0.779,46.47
876,0.76,27.1
877,0.696,36.39
878,0.678,32.44
879,0.726,47.15
880,0.738,39.01
881,0.583,42.12
882,0.614,22.66
883,0.423,51.38
884,0.565,40.41
885,0.543,41.83
886,0.623,40.82
887,0.322,51.15
888,0.395,38.79
889,0.383,49.22
890,0.496,45.51
891,0.32,28.13
892,0.435,45.26
893,0.316,22.16
894,0.382,45.45
895,0.496,42.76
896,0.582,35.33
897,0.533,19.21
898,0.533,3.66
899,0.409,44.21
900,0.571,34.24
901,0.452,41.06
902,0.431,39.47
903,0.304,19.64
904,0.367,44.81
905,0.335,40.92
906,0.33,26.12
907,0.359,6.86
908,0.285,2.3
909,0.285,11.54
910,0.285,12.07
911,0.322,39.32
912,0.423,41.75
913,0.293,28.82
914,0.461,21.25
915,0.246,42.37
916,0.349,50.82
917,0.319,39.72
918,0.495,44.65
919,0.297,55.75
920,0.421,51.89
921,0.319,55.14
922,0.477,46.55
923,0.251,48.58
924,0.322,44.19
925,0.267,46.54
926,0.291,42.86
927,0.282,19.57
928,0.213,3.47
929,0.213,36.86
930,0.293,15.61
931,0.231,44.06
