t matrices
d mo11
a matrix=mo11 sqmi 0 zcentroid sqmi
810 all:0.254984
811 all:0.254769
812 all:1.023514
813 all:0.255777
814 all:0.252793
815 all:0.255705
816 all:0.252838
817 all:0.997758
818 all:0.808125
819 all:1.016815
820 all:1.020111
821 all:1.021845
822 all:1.03407
823 all:0.251245
824 all:0.251406
825 all:0.252519
826 all:0.250161
827 all:0.820563
828 all:1.016336
829 all:1.02119
830 all:0.254823
831 all:0.254603
832 all:0.255346
833 all:0.255116
834 all:4.059394
835 all:0.812734
836 all:1.010987
837 all:1.012752
838 all:1.009267
839 all:0.250368
840 all:0.249892
841 all:0.251992
842 all:0.253281
843 all:0.999292
844 all:0.248615
845 all:0.255566
846 all:0.253956
847 all:0.248632
848 all:0.257868
849 all:0.252345
850 all:0.259112
851 all:0.252346
852 all:0.251548
853 all:0.254537
854 all:0.251524
855 all:0.253393
856 all:1.008822
857 all:0.996445
858 all:0.991825
859 all:0.247213
860 all:0.248115
861 all:0.247441
862 all:0.24789
863 all:1.001564
864 all:0.999076
865 all:1.013266
866 all:0.997468
867 all:1.00449
868 all:0.992748
869 all:0.999581
870 all:1.00202
871 all:1.02128
872 all:0.991317
873 all:0.997124
874 all:0.998799
875 all:0.999779
876 all:0.994831
877 all:0.249173
878 all:0.249397
879 all:0.24972
880 all:0.249522
881 all:0.250608
882 all:0.250628
883 all:0.247573
884 all:0.249433
885 all:0.251334
886 all:0.250327
887 all:0.251263
888 all:0.250234
889 all:1.006589
890 all:0.249452
891 all:0.249403
892 all:0.249451
893 all:0.249388
894 all:1.001695
895 all:1.009438
896 all:0.25128
897 all:0.250719
898 all:0.251402
899 all:0.253407
900 all:0.998411
901 all:1.003252
902 all:0.995761
903 all:0.999578
904 all:1.007297
905 all:0.621237
906 all:0.28391
907 all:0.253689
908 all:0.278218
909 all:0.251834
910 all:1.085244
911 all:1.026671
912 all:1.002059
913 all:0.252751
914 all:0.242742
915 all:0.243536
916 all:0.252891
917 all:3.266837
918 all:1.058192
919 all:0.252104
920 all:0.252504
921 all:0.252897
922 all:0.252495
923 all:0.252652
924 all:0.253653
925 all:0.253453
926 all:0.252867
927 all:1.007716
928 all:1.031645
929 all:0.254669
930 all:0.256328
931 all:0.254378
932 all:0.256658
933 all:0.25287
934 all:0.253032
935 all:0.253614
936 all:0.253781
937 all:0.256392
938 all:0.256318
939 all:0.255959
940 all:0.255899
941 all:0.646414
942 all:1.021491
943 all:1.015266
944 all:0.665898
945 all:1.016069
946 all:1.034759
947 all:1.002055
948 all:0.253157
949 all:0.253352
950 all:0.254694
951 all:0.2549
952 all:1.004751
953 all:1.036873
954 all:0.997429
955 all:1.014135
956 all:1.010616
957 all:1.005631
958 all:1.011059
959 all:1.011945
960 all:1.008278
961 all:0.999474
962 all:1.0065
963 all:1.002324
964 all:1.002405
965 all:1.01021
966 all:1.011068
967 all:1.001872
968 all:1.001486
969 all:1.002964
970 all:1.005717
971 all:1.017058
972 all:1.00936
973 all:1.008695
974 all:1.011452
975 all:1.008367
976 all:1.002605
977 all:1.014781
978 all:1.01322
979 all:2.002723
980 all:0.999356
981 all:1.0048
982 all:0.250991
983 all:0.251085
984 all:0.251329
985 all:0.250761
986 all:0.250803
987 all:0.250893
988 all:0.250606
989 all:0.250509
990 all:0.252309
991 all:0.251542
992 all:0.251519
993 all:0.252296
994 all:0.998175
995 all:1.001357
996 all:1.004667
997 all:0.249643
998 all:0.250084
999 all:0.249276
1000 all:0.250234
1001 all:1.003111
1002 all:0.843111
1003 all:0.91196
1004 all:0.866356
1005 all:0.816469
1006 all:0.772636
1007 all:0.736356
1008 all:0.871287
1009 all:0.253596
1010 all:0.252567
1011 all:0.252023
1012 all:0.253065
1013 all:1.009154
1014 all:0.252706
1015 all:0.250715
1016 all:0.250748
1017 all:0.252671
1018 all:0.253353
1019 all:0.252676
1020 all:0.253507
1021 all:0.254186
1022 all:1.00417
1023 all:0.867633
1024 all:0.25537
1025 all:0.254247
1026 all:0.255088
1027 all:0.254519
1028 all:1.018408
1029 all:0.249862
1030 all:0.249987
1031 all:0.249611
1032 all:0.249753
1033 all:1.009324
1034 all:0.25225
1035 all:1.012936
1036 all:0.251731
1037 all:0.853953
1038 all:0.254486
1039 all:0.253241
1040 all:0.253217
1041 all:0.254508
1042 all:0.251143
1043 all:0.251749
1044 all:0.252776
1045 all:0.250141
1046 all:0.251031
1047 all:0.24895
1048 all:0.250351
1049 all:0.249613
1050 all:0.250642
1051 all:0.250675
1052 all:0.250526
1053 all:0.250577
1054 all:0.247876
1055 all:0.24803
1056 all:0.248641
1057 all:0.247685
1058 all:0.251077
1059 all:0.252283
1060 all:0.252461
1061 all:1.079078
1062 all:0.251629
1063 all:0.250731
1064 all:0.285641
1065 all:0.250646
1066 all:0.250418
1067 all:0.250185
1068 all:0.287805
1069 all:0.912827
1070 all:0.980847
1071 all:0.582072
1072 all:0.998165
1073 all:1.181178
1074 all:0.994528
1075 all:1.00453
1076 all:0.903821
1077 all:0.992415
1078 all:1.006364
1079 all:0.996133
1080 all:1.016684
1081 all:1.010739
1082 all:1.013355
1083 all:0.254279
1084 all:0.251994
1085 all:0.251825
1086 all:0.254591
1087 all:0.248192
1088 all:0.249743
1089 all:0.247575
1090 all:0.249253
1091 all:0.844751
1092 all:0.74878
1093 all:0.683621
1094 all:0.665453
1095 all:0.64512
1096 all:0.31532
1097 all:0.309016
1098 all:0.283783
