  inode  jnode                  timau               result
    337  15092                    .93                   .93 
    338  15099                    .81                   .81 
    339  14989                   1.41                  1.41 
    340  14901                   1.08                  1.08 
    341  15210                   1.41                  1.41 
    342  15181                    .93                   .93 
    343  14554                     .9                    .9 
    344  14662                   1.47                  1.47 
    345  14832                   1.38                  1.38 
    346  14819                   1.32                  1.32 
    347  14914                   1.14                  1.14 
    348  15185                    .99                   .99 
    349  14913                   1.05                  1.05 
    350  15108                    .78                   .78 
    351  16933                    .72                   .72 
    352  15277                   1.17                  1.17 
    353  15514                    .51                   .51 
    354  15266                   1.14                  1.14 
    355  13364                   1.47                  1.47 
    356  13581                   1.11                  1.11 
    357  13582                   1.44                  1.44 
    358  13716                   1.08                  1.08 
    359  13717                   1.44                  1.44 
    360  13958                    1.2                   1.2 
    361  13850                    1.5                   1.5 
    362  13713                   1.44                  1.44 
    363  13964                   1.14                  1.14 
    364  14013                    .87                   .87 
    365  14153                   1.23                  1.23 
    366  14150                   1.32                  1.32 
    367  14084                   1.08                  1.08 
    368  14535                   1.65                  1.65 
    369  14294                   1.11                  1.11 
    370  14301                    .78                   .78 
    371  14406                   1.14                  1.14 
    372  13368                   1.32                  1.32 
    373  13463                   1.14                  1.14 
    374  13461                   1.35                  1.35 
    375  13592                   1.71                  1.71 
    376  13580                   1.41                  1.41 
    377  13591                   1.05                  1.05 
    378  13972                   1.26                  1.26 
    379  13848                   1.41                  1.41 
    380  13791                   1.35                  1.35 
    381  13828                    .96                   .96 
    382  14018                   1.02                  1.02 
    383  14168                    .75                   .75 
    384  14024                    .84                   .84 
    385  14159                    .84                   .84 
    386  14324                    .78                   .78 
    387  14540                   1.02                  1.02 
    388  14546                    .75                   .75 
    389  14291                    .84                   .84 
    390  13481                   1.35                  1.35 
    391  13369                    .96                   .96 
    392  13472                    .87                   .87 
    393  23968                    .84                   .84 
    394  13597                   1.17                  1.17 
    395  13469                   1.08                  1.08 
    396  23522                   1.02                  1.02 
    397  13979                   1.05                  1.05 
    398  13721                   1.05                  1.05 
    399  13857                   1.08                  1.08 
    400  14164                    .72                   .72 
    401  23971                   1.17                  1.17 
    402  13976                    .96                   .96 
    403  14034                   1.11                  1.11 
    404  14412                    .99                   .99 
    405  14318                   1.11                  1.11 
    406  14552                   1.08                  1.08 
    407  14549                   1.29                  1.29 
    408  13737                   1.11                  1.11 
    409  13869                   1.41                  1.41 
    410  13868                   1.44                  1.44 
    411  13983                   1.59                  1.59 
    412  14043                   1.11                  1.11 
    413  13996                   1.14                  1.14 
